Year,Month,Day,Hour,Minute,Speed,Direction
2019,4,8,3,0,3.61,56.31
2019,4,8,4,0,3.58,59.86
2019,4,8,5,0,4.33,56.31
2019,4,8,6,0,4.25,48.81
2019,4,8,7,0,3.76,28.61
2019,4,8,8,0,3.64,58.5
2019,4,8,9,0,3.83,82.5
2019,4,8,10,0,3.31,61.11
2019,4,8,11,0,3.2,69.86
2019,4,8,12,0,2.55,78.69
2019,4,8,13,0,1.9,108.43
2019,4,8,14,0,2.16,146.31
2019,4,8,15,0,2.4,163.07
2019,4,8,16,0,2.92,174.09
2019,4,8,17,0,3.08,166.87
2019,4,8,18,0,2.56,159.44
2019,4,8,19,0,1.34,153.43
2019,4,8,20,0,1.27,45
2019,4,8,21,0,2.41,48.37
2019,4,8,22,0,4.11,4.18
2019,4,8,23,0,4.75,14.62
2019,4,9,0,0,4.61,3.73
2019,4,9,1,0,5.91,356.12
2019,4,9,2,0,5,357.71
2019,4,9,3,0,3.1,339.23
2019,4,9,4,0,2.77,319.4
2019,4,9,5,0,3.05,301.61
2019,4,9,6,0,4.69,309.81
2019,4,9,7,0,4.95,315
2019,4,9,8,0,5.8,315
2019,4,9,9,0,7.08,323.62
2019,4,9,10,0,8.25,320.91
2019,4,9,11,0,8.51,319.76
2019,4,9,12,0,8.95,320.44
2019,4,9,13,0,9.01,319.95
2019,4,9,14,0,9,319.05
2019,4,9,15,0,8.81,320.53
2019,4,9,16,0,8.26,321.88
2019,4,9,17,0,7.5,323.13
2019,4,9,18,0,6.35,326.56
2019,4,9,19,0,5.3,328.11
2019,4,9,20,0,4.63,327.34
2019,4,9,21,0,3.57,342.07
2019,4,9,22,0,3.29,340.46
2019,4,9,23,0,2.88,339.68
2019,4,10,0,0,1.97,336.04
2019,4,10,1,0,1.25,331.39
2019,4,10,2,0,0.78,320.19
2019,4,10,3,0,0.95,251.57
2019,4,10,4,0,0.73,164.05
2019,4,10,5,0,1.96,104.74
2019,4,10,6,0,2.25,122.28
2019,4,10,7,0,1.9,108.43
2019,4,10,8,0,1.43,65.22
2019,4,10,9,0,1,36.87
2019,4,10,10,0,1.36,17.1
2019,4,10,11,0,1.9,3.01
2019,4,10,12,0,2.72,17.1
2019,4,10,13,0,3.16,10.95
2019,4,10,14,0,4.66,35.39
2019,4,10,15,0,4.25,23.55
2019,4,10,16,0,4.22,13.71
2019,4,10,17,0,4.02,5.71
2019,4,10,18,0,4.22,328.57
2019,4,10,19,0,6.37,337.86
2019,4,10,20,0,7.34,335.88
2019,4,10,21,0,8.59,345.15
2019,4,10,22,0,6.51,342.12
2019,4,10,23,0,7.31,329.57
2019,4,11,0,0,8.13,325.53
2019,4,11,1,0,8.26,321.88
2019,4,11,2,0,7.47,320.98
2019,4,11,3,0,6.66,324.16
2019,4,11,4,0,6.32,325.3
2019,4,11,5,0,6.18,320.91
2019,4,11,6,0,6.41,325.81
2019,4,11,7,0,5.91,326.04
2019,4,11,8,0,6.23,330.14
2019,4,11,9,0,6.53,332.65
2019,4,11,10,0,9.14,323
2019,4,11,11,0,9.31,320.67
2019,4,11,12,0,9.72,323.37
2019,4,11,13,0,8.88,326.49
2019,4,11,14,0,8.13,328.07
2019,4,11,15,0,7.96,327.31
2019,4,11,16,0,7.46,324.82
2019,4,11,17,0,6.97,320.83
2019,4,11,18,0,6.53,319.97
2019,4,11,19,0,6.17,319.6
